source_page,item,description,pairing,reasoning
page4,Chicken Trinchado,Chicken breast strips in spicy trinchado sauce.,Shiraz,"Chicken Trinchado has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page4,Springbok Carpaccio,"Thinly sliced springbok with rocket, parmesan and capers.",Cabernet Sauvignon,"Springbok Carpaccio is richer and more savoury, so a structured red can stand up to the weight of the dish."
page4,Caprese & Avo Salad,"Bocconcini, tomatoes, basil, caper berries and balsamic reduction.",Chenin Blanc,"Caprese & Avo Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page4,Sashimi,Fresh Norwegian salmon with spring onion and sesame seeds.,Sauvignon Blanc,"Sashimi is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page4,T-Bone or Ribeye Steak,Prime T-bone or ribeye with salt and pepper crust or BBQ basted.,Cabernet Sauvignon,"T-Bone or Ribeye Steak is richer and more savoury, so a structured red can stand up to the weight of the dish."
page4,Filleted Kingklip,Grilled kingklip with tartar and peri-peri.,Sauvignon Blanc,"Filleted Kingklip is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page4,Pork Ribs,Slow cooked pork loin ribs finished on the grill.,Shiraz,"Pork Ribs has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page4,Ostrich Medallions,Tender ostrich fillet with salt and pepper crust or BBQ baste.,Cabernet Sauvignon,"Ostrich Medallions is richer and more savoury, so a structured red can stand up to the weight of the dish."
page4,Filleted Chicken Breasts,"Tender chicken breasts with BBQ, peri-peri or mushroom sauce.",Cabernet Sauvignon,"Filleted Chicken Breasts is richer and more savoury, so a structured red can stand up to the weight of the dish."
page4,Veg Dish of the Day,Seasonal vegetable dish with sauce of choice.,Chenin Blanc,"Veg Dish of the Day leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page4,Malva Pudding Served with Vanilla Ice Cream,Cape malva pudding with vanilla ice cream.,Moscato,"Malva Pudding Served with Vanilla Ice Cream is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page4,Ice Cream with Chocolate Sauce,Ice cream with chocolate sauce.,Moscato,"Ice Cream with Chocolate Sauce is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page4,Chocolate Brownie,Warm chocolate brownie with nuts and ice cream.,Moscato,"Chocolate Brownie is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page8,Flash Pan Fried Chicken Livers,"Chicken livers with onion, peppers and peri-peri sauce.",Shiraz,"Flash Pan Fried Chicken Livers has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page8,Chicken Trinchado,"Chicken strips with onions, peppers and peri-peri.",Shiraz,"Chicken Trinchado has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page8,Firecracker Chicken Wings 400g,Sticky bbq or peri-peri wings.,Shiraz,"Firecracker Chicken Wings 400g has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page8,Beef Biltong,Traditional in-house beef biltong.,Cabernet Sauvignon,"Beef Biltong is richer and more savoury, so a structured red can stand up to the weight of the dish."
page8,Boerewors & Chakalaka,South African beef sausage with chakalaka sauce.,Cabernet Sauvignon,"Boerewors & Chakalaka is richer and more savoury, so a structured red can stand up to the weight of the dish."
page8,Springbok Carpaccio,"Springbok carpaccio with rocket, parmesan and capers.",Cabernet Sauvignon,"Springbok Carpaccio is richer and more savoury, so a structured red can stand up to the weight of the dish."
page8,Garlic Snails,Snails in creamy garlic sauce.,Merlot,Garlic Snails suits a balanced wine with enough softness to support the dish.
page8,Garlic Lemon Calamari,Calamari in creamy garlic sauce.,Sauvignon Blanc,"Garlic Lemon Calamari is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page8,Mussels,Steamed mussels in white wine sauce with herbs.,Sauvignon Blanc,"Mussels is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page8,Queen Prawns 3s,Three grilled queen prawns with peri-peri and lemon garlic.,Sauvignon Blanc,"Queen Prawns 3s is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page8,Fried Halloumi Fingers,Halloumi with sweet chilli sriracha.,Chenin Blanc,"Fried Halloumi Fingers leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page8,Small Greek Salad,Greek salad with feta and olives.,Chenin Blanc,"Small Greek Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page8,Tempura Chicken,Tempura chicken strips with spicy mayo.,Shiraz,"Tempura Chicken has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page8,Tempura Prawn,Tempura prawns with spicy mayo.,Sauvignon Blanc,"Tempura Prawn is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page8,Tempura Biltong,Tempura biltong with spicy mayo.,Cabernet Sauvignon,"Tempura Biltong is richer and more savoury, so a structured red can stand up to the weight of the dish."
page8,Trumps Salad,"Cos lettuce, parmesan, tomato, cucumber, avocado, eggs and croutons.",Cabernet Sauvignon,"Trumps Salad is richer and more savoury, so a structured red can stand up to the weight of the dish."
page8,Greek Salad,Greek salad with house dressing.,Chenin Blanc,"Greek Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page8,Halloumi Salad,Halloumi on greens with couscous and lime coriander aioli.,Chenin Blanc,"Halloumi Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page8,Caprese & Avocado Salad,"Mozzarella, tomatoes, basil, capers and balsamic reduction.",Chenin Blanc,"Caprese & Avocado Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page8,Trumps Char Grilled Chicken,"House salad with grilled chicken, avocado and caesar dressing.",Cabernet Sauvignon,"Trumps Char Grilled Chicken is richer and more savoury, so a structured red can stand up to the weight of the dish."
page9,Crispy Rice,Grilled sushi rice with salmon or prawns in spicy mayo.,Merlot,Crispy Rice suits a balanced wine with enough softness to support the dish.
page9,Roses,Salmon roses sushi.,Merlot,Roses suits a balanced wine with enough softness to support the dish.
page9,California Roll,California roll with salmon or prawn.,Merlot,California Roll suits a balanced wine with enough softness to support the dish.
page9,Rainbow Roll,"Rainbow roll with salmon, prawn or vegetable.",Merlot,Rainbow Roll suits a balanced wine with enough softness to support the dish.
page9,Dragon Roll,"Shrimp tempura, cucumber and avocado with spicy mayo and caviar.",Merlot,Dragon Roll suits a balanced wine with enough softness to support the dish.
page9,Rock Shrimp Tempura Roll,Salmon sushi roll topped with shrimp tempura and spicy mayo.,Merlot,Rock Shrimp Tempura Roll suits a balanced wine with enough softness to support the dish.
page9,Trumps Rainbow Reloaded,"California inside, salmon and avo outside with sweet chili mayo, teriyaki and caviar.",Cabernet Sauvignon,"Trumps Rainbow Reloaded is richer and more savoury, so a structured red can stand up to the weight of the dish."
page9,Trumps California Rainbow Reloaded,Rainbow and California combination with shrimp tempura and sweet chili mayo.,Cabernet Sauvignon,"Trumps California Rainbow Reloaded is richer and more savoury, so a structured red can stand up to the weight of the dish."
page9,Trumps Salmon Sashimi,Thinly sliced salmon sashimi with spring onion and sesame.,Sauvignon Blanc,"Trumps Salmon Sashimi is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,New Style Sashimi,"Fish with garlic, ginger, chive, sesame and yuzu soya dressing.",Sauvignon Blanc,"New Style Sashimi is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Jalapeno Salmon Sashimi,Salmon with spicy jalapeno ponzu dressing.,Sauvignon Blanc,"Jalapeno Salmon Sashimi is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Seared Salmon,Salmon with teriyaki and chilli mayo.,Sauvignon Blanc,"Seared Salmon is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Kingklip Fillet,Grilled kingklip with tartar and lemon garlic.,Sauvignon Blanc,"Kingklip Fillet is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Hake & Calamari,Grilled hake and calamari with tartar and lemon garlic.,Sauvignon Blanc,"Hake & Calamari is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Falklands Calamari,Baby calamari tubes grilled with tartar and lemon garlic.,Sauvignon Blanc,"Falklands Calamari is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Prawn & Calamari,Grilled prawns and calamari with tartar and peri-peri.,Sauvignon Blanc,"Prawn & Calamari is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Hake & Prawn,Grilled hake and prawns with tartar and lemon garlic.,Sauvignon Blanc,"Hake & Prawn is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Kingklip & Prawn,Grilled kingklip and prawns with tartar and peri-peri.,Sauvignon Blanc,"Kingklip & Prawn is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Hake Platter for 1,"Hake, calamari, mussels and prawns with tartar and lemon garlic.",Sauvignon Blanc,"Hake Platter for 1 is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,6 Queen Prawns,Six grilled queen prawns with peri-peri and lemon garlic.,Sauvignon Blanc,"6 Queen Prawns is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,9 Queen Prawns,Nine grilled queen prawns with peri-peri and lemon garlic.,Sauvignon Blanc,"9 Queen Prawns is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page9,Grilled Hake,Grilled hake with tartar and lemon garlic.,Sauvignon Blanc,"Grilled Hake is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page10,Fillet,Most tender steak with subtle flavor.,Cabernet Sauvignon,"Fillet is richer and more savoury, so a structured red can stand up to the weight of the dish."
page10,Sirloin,"Lean, tender steak with robust flavor.",Cabernet Sauvignon,"Sirloin is richer and more savoury, so a structured red can stand up to the weight of the dish."
page10,Ribeye,Rich marbled steak with bold beef flavour.,Cabernet Sauvignon,"Ribeye is richer and more savoury, so a structured red can stand up to the weight of the dish."
page10,Rump,Juicy steak with a rich line of fat.,Cabernet Sauvignon,"Rump is richer and more savoury, so a structured red can stand up to the weight of the dish."
page10,T-Bone,Balance of fillet tenderness and sirloin marbling.,Cabernet Sauvignon,"T-Bone is richer and more savoury, so a structured red can stand up to the weight of the dish."
page10,Tomahawk,Aged on the bone for intense flavour and presentation.,Cabernet Sauvignon,"Tomahawk is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Sirloin 350g,Off-the-bone prime sirloin.,Cabernet Sauvignon,"Sirloin 350g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Rump 400g,Off-the-bone prime rump.,Cabernet Sauvignon,"Rump 400g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Ribeye 380g,Off-the-bone prime ribeye.,Cabernet Sauvignon,"Ribeye 380g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Fillet 260g,Small fillet cut.,Cabernet Sauvignon,"Fillet 260g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Fillet 360g,Larger fillet cut.,Cabernet Sauvignon,"Fillet 360g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Portuguese Rump 350g & Eggs,Rump basted with peri-peri and served with eggs.,Cabernet Sauvignon,"Portuguese Rump 350g & Eggs is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,T-Bone 500g,On-the-bone t-bone.,Cabernet Sauvignon,"T-Bone 500g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Tomahawk French Cut 650g,French-cut tomahawk on the bone.,Cabernet Sauvignon,"Tomahawk French Cut 650g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Sirloin 480g On the Bone,On-the-bone sirloin.,Cabernet Sauvignon,"Sirloin 480g On the Bone is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,T-Bone 700g,Large on-the-bone t-bone.,Cabernet Sauvignon,"T-Bone 700g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Sirloin 500g,Premium sirloin cut.,Cabernet Sauvignon,"Sirloin 500g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Rump 600g,Premium rump cut.,Cabernet Sauvignon,"Rump 600g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Ribeye 500g,Premium ribeye cut.,Cabernet Sauvignon,"Ribeye 500g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Fillet 500g,Premium fillet cut.,Cabernet Sauvignon,"Fillet 500g is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Ribeye 300g Wagyu,Wagyu ribeye.,Cabernet Sauvignon,"Ribeye 300g Wagyu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Fillet 300g Wagyu,Wagyu fillet.,Cabernet Sauvignon,"Fillet 300g Wagyu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Sirloin 300g Wagyu,Wagyu sirloin.,Cabernet Sauvignon,"Sirloin 300g Wagyu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Chuckeye 350g Wagyu,Wagyu chuckeye.,Cabernet Sauvignon,"Chuckeye 350g Wagyu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Rump 350g Wagyu,Wagyu rump.,Cabernet Sauvignon,"Rump 350g Wagyu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page11,Denver 350g Wagyu,Wagyu denver cut.,Cabernet Sauvignon,"Denver 350g Wagyu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page12,Pork Chops,Thick-cut bone-in pork chops.,Shiraz,"Pork Chops has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page12,Pork Tomahawk,Signature pork tomahawk.,Cabernet Sauvignon,"Pork Tomahawk is richer and more savoury, so a structured red can stand up to the weight of the dish."
page12,Eisbein,Roasted eisbein with sauerkraut and apple sauce.,Merlot,Eisbein suits a balanced wine with enough softness to support the dish.
page12,Full Rack Pork Loin Ribs,Slow cooked pork loin ribs.,Shiraz,"Full Rack Pork Loin Ribs has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page12,Lamb Rump,Juicy lamb rump.,Cabernet Sauvignon,"Lamb Rump is richer and more savoury, so a structured red can stand up to the weight of the dish."
page12,Lamb Shank,Slow-cooked lamb shank in bbq red wine sauce.,Shiraz,"Lamb Shank has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page12,Lamb Chops,Lamb chops grilled to choice.,Shiraz,"Lamb Chops has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page12,Lamb Rump & Chops Combo,Lamb rump and two lamb loin chops.,Cabernet Sauvignon,"Lamb Rump & Chops Combo is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Ostrich Fillet,Lean ostrich fillet with delicate texture and slight sweetness.,Cabernet Sauvignon,"Ostrich Fillet is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Kudu,"Kudu with gamey, earthy and slightly sweet notes.",Cabernet Sauvignon,"Kudu is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Springbok,Lean springbok with subtle earthy flavour.,Cabernet Sauvignon,"Springbok is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Oxtail,Slow cooked oxtail in red wine and brown onion sauce.,Cabernet Sauvignon,"Oxtail is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Beef Ribs 2 pce,Slow cooked and grilled beef ribs.,Cabernet Sauvignon,"Beef Ribs 2 pce is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Beef Ribs 3 pce,Large portion of slow cooked beef ribs.,Cabernet Sauvignon,"Beef Ribs 3 pce is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Prime Steak & Lamb Chops,Rump with two lamb chops.,Cabernet Sauvignon,"Prime Steak & Lamb Chops is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Pork or Beef Ribs & Queen Prawns,Ribs with three queen prawns.,Sauvignon Blanc,"Pork or Beef Ribs & Queen Prawns is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page13,Pork or Beef Ribs & Wings,Ribs with wings.,Cabernet Sauvignon,"Pork or Beef Ribs & Wings is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,Mixed Grill,"Boerewors, sirloin and two lamb chops.",Merlot,Mixed Grill suits a balanced wine with enough softness to support the dish.
page13,Prime Steak & Prawns,Rump with six queen prawns.,Sauvignon Blanc,"Prime Steak & Prawns is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page13,Pork or Beef Ribs & Lamb Chops,Ribs with two lamb chops.,Cabernet Sauvignon,"Pork or Beef Ribs & Lamb Chops is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,"Rump Steak, Boerewors and Ribs","Rump, boerewors and ribs platter.",Cabernet Sauvignon,"Rump Steak, Boerewors and Ribs is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,"T-Bone, Wings and Boerewors","T-bone, wings and boerewors platter.",Cabernet Sauvignon,"T-Bone, Wings and Boerewors is richer and more savoury, so a structured red can stand up to the weight of the dish."
page13,"The King, Queen Platter","Kingklip, prawns, calamari and mussels.",Merlot,"The King, Queen Platter suits a balanced wine with enough softness to support the dish."
page14,BBQ / Peri-Peri Beef Burger,Beef burger basted bbq or peri-peri.,Cabernet Sauvignon,"BBQ / Peri-Peri Beef Burger is richer and more savoury, so a structured red can stand up to the weight of the dish."
page14,Cheese Burger,Beef burger with mature cheddar.,Shiraz,"Cheese Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,BBQ / Peri-Peri Chicken Burger,Chicken burger basted bbq or peri-peri.,Shiraz,"BBQ / Peri-Peri Chicken Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Bacon and Chicken Burger,Chicken burger with bacon and cheddar.,Shiraz,"Bacon and Chicken Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Jalapeno Chilli and Cheese Burger,Beef burger with jalapenos and cheddar.,Shiraz,"Jalapeno Chilli and Cheese Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Bacon and Cheese Burger,Beef burger with bacon and cheddar.,Shiraz,"Bacon and Cheese Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,"Bacon, Egg & Cheese Burger","Beef burger with bacon, fried egg and cheddar.",Shiraz,"Bacon, Egg & Cheese Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Half Chicken,"Half chicken basted bbq, peri-peri or sweet chilli.",Shiraz,"Half Chicken has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Chicken Breast,"Chicken breast basted bbq, peri-peri or sweet chilli.",Shiraz,"Chicken Breast has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Mushroom Sauce Chicken Breast,Chicken breast with creamy mushroom sauce.,Shiraz,"Mushroom Sauce Chicken Breast has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Full Chicken,"Whole chicken basted bbq, peri-peri or sweet chilli.",Shiraz,"Full Chicken has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Firecracker Chicken Wings - 800g,"Large wings basted bbq, peri-peri or sweet sriracha.",Shiraz,"Firecracker Chicken Wings - 800g has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Creamy Basil Pesto & Mushroom,Grilled mushrooms in creamy pesto sauce.,Merlot,Creamy Basil Pesto & Mushroom suits a balanced wine with enough softness to support the dish.
page14,Spaghetti Bolognese,Beef mince in napolitana with garlic and chilli.,Merlot,Spaghetti Bolognese suits a balanced wine with enough softness to support the dish.
page14,Chicken Pasta,"Chicken, cherry tomatoes, basil pesto and napolitana.",Shiraz,"Chicken Pasta has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Alfredo,Ham and mushroom in creamy sauce.,Merlot,Alfredo suits a balanced wine with enough softness to support the dish.
page14,Beef Fillet Pasta,"Beef fillet strips in napolitana with peppers, garlic and chilli.",Cabernet Sauvignon,"Beef Fillet Pasta is richer and more savoury, so a structured red can stand up to the weight of the dish."
page14,Seafood Pasta,"Prawns, calamari and mussels in napolitana or fresh cream sauce.",Chenin Blanc,"Seafood Pasta leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page14,Veg Burger,Veg patty with tomato chilli jam.,Shiraz,"Veg Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Veg Platter,"Greek salad, fried halloumi, veg patty, mushrooms, vegetables and sauce.",Chenin Blanc,"Veg Platter leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page14,Halloumi Burger,Fried halloumi with tomato chilli jam.,Shiraz,"Halloumi Burger has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page14,Caprese & Avocado Salad,"Mozzarella, tomatoes, basil, capers and balsamic reduction.",Chenin Blanc,"Caprese & Avocado Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page15,Mashed Potatoes,Side of mashed potatoes.,Merlot,Mashed Potatoes suits a balanced wine with enough softness to support the dish.
page15,Creamed Spinach,Side of creamed spinach.,Merlot,Creamed Spinach suits a balanced wine with enough softness to support the dish.
page15,Onion Rings,Side of onion rings.,Merlot,Onion Rings suits a balanced wine with enough softness to support the dish.
page15,Steakhouse Chips,Side of chips.,Cabernet Sauvignon,"Steakhouse Chips is richer and more savoury, so a structured red can stand up to the weight of the dish."
page15,Sautéed Mushrooms with Fresh Herbs,Side of sautéed mushrooms.,Merlot,Sautéed Mushrooms with Fresh Herbs suits a balanced wine with enough softness to support the dish.
page15,Savoury Rice,Side of savoury rice.,Merlot,Savoury Rice suits a balanced wine with enough softness to support the dish.
page15,Sweet Pumpkin,Side of sweet pumpkin.,Merlot,Sweet Pumpkin suits a balanced wine with enough softness to support the dish.
page15,Tomato & Onion Salad,Side salad.,Chenin Blanc,"Tomato & Onion Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page15,Steamed Potatoes & Sour Cream,Side of steamed potatoes and sour cream.,Merlot,Steamed Potatoes & Sour Cream suits a balanced wine with enough softness to support the dish.
page15,Tomato and Avo Salad,Tomato and avocado salad.,Chenin Blanc,"Tomato and Avo Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page15,Side Green Salad,Green salad side.,Chenin Blanc,"Side Green Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page15,Add Feta,Feta add-on.,Merlot,Add Feta suits a balanced wine with enough softness to support the dish.
page15,Duo of Ice Cream,Chocolate and vanilla ice cream.,Moscato,"Duo of Ice Cream is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page15,Trio of Ice Cream,"Chocolate, caramel and vanilla ice cream.",Moscato,"Trio of Ice Cream is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page15,Cape Malva Pudding,Cape malva pudding with vanilla ice cream.,Moscato,"Cape Malva Pudding is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page15,Red Velvet Cake,Red velvet cake with cream cheese frosting.,Moscato,"Red Velvet Cake is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page15,Death by Chocolate Cake,Layered chocolate cake with ganache.,Moscato,"Death by Chocolate Cake is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page15,Chocolate Brownie,Warm chocolate brownie with ice cream.,Moscato,"Chocolate Brownie is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page16,Honey Glazed Biltong,Honey glazed biltong.,Cabernet Sauvignon,"Honey Glazed Biltong is richer and more savoury, so a structured red can stand up to the weight of the dish."
page16,Fatty Biltong,Fatty biltong.,Cabernet Sauvignon,"Fatty Biltong is richer and more savoury, so a structured red can stand up to the weight of the dish."
page16,Droe Wors,Dry wors.,Merlot,Droe Wors suits a balanced wine with enough softness to support the dish.
page28,Castle Draught,Castle draught beer.,Merlot,Castle Draught suits a balanced wine with enough softness to support the dish.
page28,Castle Lite Draught,Castle Lite draught beer.,Merlot,Castle Lite Draught suits a balanced wine with enough softness to support the dish.
page28,Stella Artois Draught,Stella Artois draught beer.,Merlot,Stella Artois Draught suits a balanced wine with enough softness to support the dish.
page28,Heineken Draught,Heineken draught beer.,Merlot,Heineken Draught suits a balanced wine with enough softness to support the dish.
page28,Windhoek Draught,Windhoek draught beer.,Merlot,Windhoek Draught suits a balanced wine with enough softness to support the dish.
page28,Carling Black Label,Local beer.,Merlot,Carling Black Label suits a balanced wine with enough softness to support the dish.
page28,Castle Lager,Local beer.,Merlot,Castle Lager suits a balanced wine with enough softness to support the dish.
page28,Castle Lite,Local beer.,Merlot,Castle Lite suits a balanced wine with enough softness to support the dish.
page28,Castle Double Malt,Local beer.,Merlot,Castle Double Malt suits a balanced wine with enough softness to support the dish.
page28,Flying Fish Lemon,Flavoured beer.,Sauvignon Blanc,"Flying Fish Lemon is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page28,Flying Fish Dry Apple,Flavoured beer.,Sauvignon Blanc,"Flying Fish Dry Apple is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page28,Corona,Imported beer.,Merlot,Corona suits a balanced wine with enough softness to support the dish.
page28,Amstel,Imported beer.,Merlot,Amstel suits a balanced wine with enough softness to support the dish.
page28,Heineken Silver,Imported beer.,Merlot,Heineken Silver suits a balanced wine with enough softness to support the dish.
page28,Heineken,Imported beer.,Merlot,Heineken suits a balanced wine with enough softness to support the dish.
page28,Budweiser,Imported beer.,Merlot,Budweiser suits a balanced wine with enough softness to support the dish.
page28,Corona Non-Alcoholic 0.0,Non-alcoholic beer.,Merlot,Corona Non-Alcoholic 0.0 suits a balanced wine with enough softness to support the dish.
page28,Heineken 0.0,Non-alcoholic beer.,Merlot,Heineken 0.0 suits a balanced wine with enough softness to support the dish.
page28,Savanna Lemon Non-Alcoholic,Non-alcoholic cider.,Merlot,Savanna Lemon Non-Alcoholic suits a balanced wine with enough softness to support the dish.
page28,Brutal Fruit Litchi Seche,Cooler.,Merlot,Brutal Fruit Litchi Seche suits a balanced wine with enough softness to support the dish.
page28,Bernini Blush,Cooler.,Merlot,Bernini Blush suits a balanced wine with enough softness to support the dish.
page28,Hunters Dry,Cider.,Merlot,Hunters Dry suits a balanced wine with enough softness to support the dish.
page28,Hunters Gold,Cider.,Merlot,Hunters Gold suits a balanced wine with enough softness to support the dish.
page28,Savanna Dry,Cider.,Merlot,Savanna Dry suits a balanced wine with enough softness to support the dish.
