drink,description
MOT CHANDON BRUT ROS,"A rosé Champagne with fresh berry notes, light toastiness, and fine bubbles."
VEUVE CLICQUOT BRUT,"A classic Champagne from France with a dry style, citrus freshness, and a brioche-like finish."
VEUVE CLICQUOT ROS,"A pink Champagne with red-berry flavor, gentle acidity, and elegant bubbles."
VEUVE CLICQUOT RICH,"A sweeter-style Champagne with ripe fruit flavors and a softer, rounder finish."
BOLLINGER SPECIAL CUVEE BRUT,"A fuller-bodied Champagne from France with rich yeast, apple, and toasted bread notes."
DOM PERIGNON BLANC,"A prestige Champagne from France, known for fine bubbles, citrus, stone fruit, and a silky finish."
DOM PERIGNON ROSE,"A prestige rosé Champagne with berry fruit, spice, and a refined sparkling texture."
ARMAND DE BRIGNAC GOLD ACE OF SPADES,"A luxury Champagne with rich fruit, creamy texture, and polished bubbles."
ARMAND DE BRIGNAC BRUT ROS ACE OF SPADES,"A luxury rosé Champagne with bright berry notes and a smooth, elegant finish."
LORMARINS BRUT CLASSIQUE,"A South African Cap Classique sparkling wine with crisp apple, citrus, and toast notes."
LORMARINS BRUT CLASSIQUE ROS,A South African rosé sparkling wine with red-fruit notes and bright bubbles.
PIERRE JOURDAN BELLE NECTAR,"A sweeter South African sparkling wine with floral aromas, ripe fruit, and soft bubbles."
KRONE NIGHT NECTAR DEMI-SEC,A demi-sec sparkling wine with a noticeable sweetness and fresh fruit flavor.
PONGRCZ ROS,A South African sparkling rosé with strawberry and cranberry notes and lively fizz.
PONGRCZ NOBLE NECTAR,"A sweeter sparkling wine with ripe fruit, floral notes, and a soft finish."
DA LUCA PROSECCO,"An Italian sparkling wine from Veneto with light apple, pear, and floral flavors."
DA LUCA ROS PROSECCO,"A rosy Italian sparkling wine with fresh berry notes and a crisp, bubbly finish."
SAUVIGNON BLANC,"A white wine style usually sharp and refreshing, with citrus, green fruit, and herb-like notes."
BLACK CHENIN BLANC,"A Chenin Blanc style with ripe apple, pear, and honeyed fruit character."
CHARDONNAY,A white wine that can taste crisp and citrusy or rich and buttery depending on how it is made.
SEMI-SWEET AND OTHER WHITES,"A group of white wines that lean softer and fruitier, often with tropical fruit and floral notes."
PINOTAGE,"A South African red grape style with dark fruit, smoke, and earthy notes."
MERLOT,"A smooth red wine with plum, red berry, and soft chocolate-like notes."
CABERNET SAUVIGNON,"A bold red wine with blackcurrant, dark cherry, and firm tannins."
SHIRAZ,"A spicy red wine with blackberry, plum, pepper, and clove flavors."
PINOT NOIR,"A lighter red wine with cherry, raspberry, and earthy flavors."
RED BLENDS,"A mixed red wine style that combines grapes for layered dark fruit, spice, and a balanced finish."
MEERLUST RED,"A blended red wine with dark fruit, spice, and a rounded, elegant structure."
CORAVIN SELECTION,"These are premium wines poured by the glass using a preservation system, so the remaining bottle stays fresh longer."
RUST EN VREDE ESTATE SHIRAZ,"A rich Stellenbosch Shiraz with dark berries, plum, pepper, and oak spice."
WARWICK BLUE LADY CABERNET SAUVIGNON,"A Cabernet Sauvignon with blackcurrant, cassis, tobacco, and a long smooth finish."
SIMONSIG THE GARLAND CABERNET SAUVIGNON,"A full-bodied Cabernet with blackberry, cassis, dark chocolate, and oak spice."
TOKARA DIRECTORS RESERVE RED,"A polished red blend with dark cherry, plum, blackcurrant, and fine tannins."
LAVENIR SINGLE BLOCK PINOTAGE,"A bold Pinotage with black cherry, plum, spice, and a long finish."
RUPERT ROTHSCHILD BARON EDMOND,"A Bordeaux-style blend with dark berries, plum, cedar, and spice."
LE RICHE CABERNET SAUVIGNON RESERVE,"A powerful Cabernet with blackcurrant, dark chocolate, cedar, and firm tannins."
MULLINEUX OLD VINES WHITE,"A textured white blend with stone fruit, citrus, honey, and soft spice."
PAUL CLVER SEVEN FLAGS PINOT NOIR,"An elegant Pinot Noir with red cherry, strawberry, floral notes, and silky tannins."
SHANNON MOUNT BULLET,"A soft Merlot with plum, black cherry, chocolate, and tobacco notes."
ALLE BLEUE LAMOUR TOUJOURS,"A rich red blend with blackcurrant, dark chocolate, spice, and smooth tannins."
DE WETSHOF BATELEUR CHARDONNAY,"A fresh Chardonnay with citrus, peach, light oak, and vanilla notes."
SARONSBERG FULL CIRCLE,"A Rhône-style red blend with dark berries, plum, spice, and a full finish."
MUSCAT,"A sweet, floral wine style with grape-like fruit and perfumed aromas."
DRAUGHTS,"Draft beer served fresh from the tap, usually colder and lighter on the palate than bottled beer."
COCKTAILS,"Mixed drinks made by combining spirits, liqueurs, juices, and mixers in balanced recipes."
TEA,"A hot or iced drink made by steeping tea leaves, usually light, fragrant, and refreshing."
COFFEE,"A brewed drink made from roasted coffee beans, with a bold, bitter, aromatic flavor."
GIN AND TONIC,"A classic mixed drink made with gin, tonic water, and usually lime; crisp, bitter, and refreshing."
WHISKEY SOUR,"A cocktail made with whiskey, citrus, and sweetener, often shaken for a bright, tangy taste."
MARGARITA,"A tequila cocktail mixed with citrus and orange liqueur, usually salty, tart, and refreshing."
MOJITO,"A mint and lime rum cocktail with sweetness, soda water, and a fresh, cooling taste."
