index,category,item,description,wine_pairing,beer_pairing,cocktail_pairing,reasoning
36,Salad,Trumps Salad,"Cos lettuce, parmesan shavings, tomato, cucumber, avocado, boiled eggs and croutons with Caesar dressing.",Chardonnay,Pilsner,Gin and Tonic,The creamy Caesar profile wants a pairing with freshness but also enough roundness to match the dressing.
37,Salad,Greek Salad,"Heirloom tomatoes, onions, peppers, cucumber, olives and feta with Greek dressing.",Sauvignon Blanc,Light Lager,Aperol Spritz,"A crisp, zesty drink keeps the salad bright and supports the briny feta and olives beautifully."
38,Salad,Halloumi Salad,Fried halloumi on mixed greens and cherry tomatoes with spiced couscous and lime-coriander aioli.,Sauvignon Blanc,Lager,Aperol Spritz,The salty cheese and zesty dressing need lift and freshness so the dish stays vibrant.
39,Salad,Caprese & Avocado Salad,"Mozzarella, tomatoes, basil leaves, caper berries and cos lettuce with balsamic reduction.",Sauvignon Blanc,Light Lager,Aperol Spritz,"Tomato, basil and mozzarella all benefit from a pairing that feels clean, aromatic and bright."
40,Salad,Trumps Char Grilled Chicken,"House salad reloaded with freshly grilled chicken, avocado, tomatoes, onions, cucumber and parmesan with Caesar dressing.",Chardonnay,Lager,Gin and Tonic,"The grilled chicken adds substance, but the drink should still keep the salad feeling fresh and balanced."
41,Sushi,Crispy Rice,Grilled sushi rice in panko topped with chopped salmon or steamed prawns in hot spicy mayo.,Sauvignon Blanc,Pilsner,Gin and Tonic,"Because there is crisp texture, seafood and spicy mayo together, the pairing needs acidity and a very clean finish."
42,Sushi,Roses,Salmon rose sushi pieces.,Sauvignon Blanc,Pilsner,Gin and Tonic,"A delicate salmon preparation works best with a light, precise pairing that does not crowd the fish."
43,Sushi,California Roll,California roll available with salmon or prawn.,Sauvignon Blanc,Pilsner,Gin and Tonic,"This is a softer, lighter sushi style, so the pairing should stay crisp and low-interference."
44,Sushi,Rainbow Roll,"Rainbow roll with salmon, prawn or vegetable options.",Sauvignon Blanc,Pilsner,Gin and Tonic,"Because the flavours are layered but still delicate, the drink should refresh the palate rather than dominate it."
45,Sushi,Dragon Roll,"Shrimp tempura, cucumber and avocado roll topped with spicy mayo and caviar.",Sauvignon Blanc,Pilsner,Gin and Tonic,The richness of tempura and mayo needs acidity and a crisp finish to keep the roll feeling balanced.
46,Sushi,Rock Shrimp Tempura Roll,Salmon sushi roll topped with shrimp tempura and spicy mayo.,Sauvignon Blanc,Pilsner,Gin and Tonic,The pairing needs to clean the palate after each bite so the tempura and mayo do not overwhelm the fish.
47,Sushi,Trumps Rainbow Reloaded,"California inside, salmon and avo outside, topped with sweet chilli mayo, teriyaki and caviar.",Sauvignon Blanc,Pilsner,Gin and Tonic,"This is a richer sushi build, so a bright pairing helps hold together the sweetness, salt and creaminess."
48,Sushi,Trumps California Rainbow Reloaded,Rainbow roll and California roll combination topped with shrimp tempura and sweet chilli mayo.,Sauvignon Blanc,Pilsner,Gin and Tonic,The extra tempura and sweet mayo call for a pairing that cuts cleanly through the richness.
49,Sashimi,Trumps Salmon Sashimi,Thinly sliced fresh salmon sashimi topped with spring onion and sesame seeds.,Sauvignon Blanc,Pilsner,Gin and Tonic,"A clean sashimi dish needs a pairing that is precise, crisp and subtle enough to leave the fish in front."
50,Sashimi,New Style Sashimi,"Thinly sliced fish topped with garlic, ginger, chive and sesame, drizzled with yuzu soya dressing.",Sauvignon Blanc,Pilsner,Gin and Tonic,"The yuzu and ginger bring brightness, so a crisp pairing keeps the flavours clear and energetic."
51,Sashimi,Jalapeno Salmon Sashimi,Thinly sliced salmon drizzled with spicy jalapeno ponzu dressing.,Sauvignon Blanc,Pilsner,Gin and Tonic,The heat and citrus need a fresh pairing that cools the palate without dulling the sharp flavours.
52,Seafood,Seared Salmon,Salmon served with teriyaki and chilli mayo.,Pinot Noir,Lager,Dry Martini,"Salmon has enough richness to handle a softer red, but the pairing still needs freshness to balance the glaze and mayo."
53,Seafood,Kingklip Fillet,Grilled kingklip served with tartar and lemon garlic sauces.,Sauvignon Blanc,Light Lager,Gin and Tonic,"Kingklip is delicate and clean, so the drink should sharpen the plate and let the fish stay central."
54,Seafood,Hake & Calamari,Grilled hake and calamari served with tartar and lemon garlic sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,A mixed seafood dish needs something crisp and versatile enough to work across both fish and calamari.
55,Seafood,Falklands Calamari,Baby calamari tubes grilled and served with tartar and lemon garlic sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,Light seafood and lemon garlic naturally suit a pairing with acidity and a clean finish.
56,Seafood,Prawn & Calamari,Grilled prawns and calamari served with tartar and peri-peri sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,"Because the plate moves between sweetness and spice, the pairing needs to stay bright and flexible."
57,Seafood,Hake & Prawn,Grilled hake and prawns served with tartar and lemon garlic sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,This dish benefits from a classic crisp pairing that keeps the seafood tasting fresh from start to finish.
58,Seafood,Kingklip & Prawn,Grilled kingklip and prawns served with tartar and peri-peri sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,"The fish is delicate and the prawns are sweet, so a fresh, high-acid drink keeps both elements in balance."
59,Seafood,Hake Platter for 1,"Two queen prawns, hake, calamari and mussels with tartar and lemon garlic sauces.",Sauvignon Blanc,Pilsner,Gin and Tonic,"A seafood platter needs one clean, all-round pairing that can move comfortably across every bite."
60,Seafood,6 Queen Prawns,Six seasoned and grilled queen prawns with peri-peri and lemon garlic sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,"Prawns love bright, crisp pairings because they lift the natural sweetness and keep the finish clean."
61,Seafood,9 Queen Prawns,Nine seasoned and grilled queen prawns with peri-peri and lemon garlic sauces.,Sauvignon Blanc,Pilsner,Gin and Tonic,A larger prawn plate still works best with freshness and acidity rather than anything too weighty.
62,Seafood,Grilled Hake,Grilled hake served with tartar and lemon garlic sauces.,Sauvignon Blanc,Light Lager,Gin and Tonic,"Hake is light and flaky, so the pairing should stay clean and let the fish remain the hero."
63,Steak Cut,Fillet,The most tender steak cut with exceptional tenderness and subtle flavour.,Merlot,Amber Lager,Old Fashioned,"Fillet is more about texture than aggression, so a smoother, polished pairing supports it without taking over."
64,Steak Cut,Sirloin,A lean and tender premium cut with a robust beef flavour.,Merlot,Amber Lager,Old Fashioned,"Sirloin has enough beefy character to want structure, but it still benefits from a pairing that stays smooth and balanced."
65,Steak Cut,Ribeye,"A richly marbled steak with bold, full beef flavour.",Cabernet Sauvignon,Strong Lager,Whiskey Sour,"Ribeye is intensely flavoured and fatty, so it needs a drink with backbone to cut through the richness."
66,Steak Cut,Rump,A juicy steak with a rich line of fat keeping it moist and flavourful.,Cabernet Sauvignon,Strong Lager,Negroni,"Rump is hearty and full-flavoured, so a more structured drink gives the dish the weight it deserves."
67,Steak Cut,T-Bone,A balance of tender fillet and marbled sirloin on the bone.,Cabernet Sauvignon,Strong Lager,Negroni,"Because the cut combines tenderness and marbling, it suits a confident pairing with both depth and grip."
68,Steak Cut,Tomahawk,Aged on the bone to build deeper beef flavour and dramatic presentation.,Cabernet Sauvignon,Strong Lager,Old Fashioned,"A tomahawk is a statement steak, so the drink needs equal presence and enough structure to handle the richness."
69,Steak,Sirloin 350g,Off-the-bone prime sirloin steak served with a side of your choice.,Merlot,Amber Lager,Old Fashioned,"This cut stays leaner than ribeye, so it works best with a pairing that supports the beef without overpowering it."
70,Steak,Rump 400g,Off-the-bone prime rump steak served with a side of your choice.,Cabernet Sauvignon,Strong Lager,Negroni,"Rump has more boldness and fat, so it benefits from a pairing with extra structure and grip."
71,Steak,Ribeye 380g,Off-the-bone ribeye steak served with a side of your choice.,Cabernet Sauvignon,Strong Lager,Whiskey Sour,"The marbling brings richness, so the pairing must be strong enough to lift the fat and match the beef flavour."
72,Steak,Fillet 260g,Smaller fillet cut served with a side of your choice.,Merlot,Amber Lager,Old Fashioned,"A smaller fillet still leans elegant and tender, so a polished, not overly aggressive pairing works best."
73,Steak,Fillet 360g,Larger fillet cut served with a side of your choice.,Merlot,Amber Lager,Old Fashioned,"Fillet rewards restraint in the pairing, letting the tenderness and subtle flavour stay the star."
74,Steak,Portuguese Rump 350g & Eggs,Rump basted with peri-peri and served with eggs.,Shiraz,Lager,Bloody Mary,"The peri-peri and richness of eggs need something with spice, body and enough freshness to hold the dish together."
75,Steak,T-Bone 500g,On-the-bone T-bone steak served with a side of your choice.,Cabernet Sauvignon,Strong Lager,Negroni,"The bone and mixed textures deepen the flavour, so the drink should carry similar intensity."
76,Steak,Tomahawk French Cut 650g,French-cut tomahawk served on the bone with a side of your choice.,Cabernet Sauvignon,Strong Lager,Old Fashioned,"This is a big-format steak, so it needs a pairing that feels just as serious and full-bodied."
77,Steak,Sirloin 480g On the Bone,On-the-bone sirloin served with a side of your choice.,Shiraz,Strong Lager,Old Fashioned,"The bone adds depth to the sirloin, so a fuller pairing gives the cut more presence."
78,Steak,T-Bone 700g,Large on-the-bone T-bone steak served with a side of your choice.,Cabernet Sauvignon,Strong Lager,Negroni,A larger T-bone deserves a pairing with enough weight to match the size and flavour concentration.
79,Steak,Sirloin 500g,Premium sirloin cut served with a side of your choice.,Shiraz,Amber Lager,Old Fashioned,"A larger sirloin pushes the beef flavour forward, so a fuller pairing works better than something too delicate."
80,Steak,Rump 600g,Premium rump cut served with a side of your choice.,Cabernet Sauvignon,Strong Lager,Negroni,"The size and fat line make this a bold plate, so it wants structure and a firm finish in the glass."
81,Steak,Ribeye 500g,Premium ribeye cut served with a side of your choice.,Cabernet Sauvignon,Strong Lager,Whiskey Sour,The extra marbling and larger cut call for a drink with serious lift and staying power.
82,Steak,Fillet 500g,Premium fillet cut served with a side of your choice.,Merlot,Amber Lager,Old Fashioned,"Even in a larger size, fillet is still about tenderness, so the pairing should stay polished and not too aggressive."
83,Wagyu,Ribeye 300g Wagyu,"South African Wagyu ribeye with marbling score 8-10+, served with chimichurri and a side.",Malbec,Strong Lager,Old Fashioned,"Wagyu is luxurious and deeply marbled, so the pairing needs enough body to cut through the richness while still feeling smooth."
84,Wagyu,Fillet 300g Wagyu,"South African Wagyu fillet with marbling score 8-10+, served with chimichurri and a side.",Malbec,Strong Lager,Old Fashioned,"Wagyu fillet combines tenderness with richness, so it needs a pairing that stays velvety but still has structure."
85,Wagyu,Sirloin 300g Wagyu,"South African Wagyu sirloin with marbling score 8-10+, served with chimichurri and a side.",Malbec,Strong Lager,Old Fashioned,"The marbling lifts the sirloin into a richer style of steak, so a fuller drink becomes the better fit."
86,Wagyu,Chuckeye 350g Wagyu,South African Wagyu chuckeye with chimichurri and a side.,Malbec,Strong Lager,Old Fashioned,"Chuckeye has deep beef character and serious richness, so it wants a pairing with muscle and smoothness."
87,Wagyu,Rump 350g Wagyu,South African Wagyu rump with chimichurri and a side.,Malbec,Strong Lager,Old Fashioned,"The Wagyu marbling softens the rump and adds luxury, so the drink should feel rich without becoming harsh."
88,Wagyu,Denver 350g Wagyu,South African Wagyu denver cut with chimichurri and a side.,Malbec,Strong Lager,Old Fashioned,"Denver cut brings flavour and marbling together, so a broad, smooth pairing suits it best."
89,Pork,Pork Chops,"Thick-cut bone-in pork chops basted with BBQ, peri-peri or sweet chilli sriracha.",Shiraz,Amber Lager,Bourbon Smash,"Pork chops have enough fat and char to enjoy a fuller pairing, especially when the basting adds sweetness or spice."
90,Pork,Pork Tomahawk,Signature pork tomahawk with exceptional marbling and tenderness.,Shiraz,Amber Lager,Bourbon Smash,"This is a rich, showpiece pork cut, so it needs a pairing with body, warmth and enough flavour to keep pace."
91,Pork,Eisbein,"Roasted eisbein with crackling skin, served with sauerkraut and apple sauce.",Gewurztraminer,Lager,Apple Whiskey Highball,The salty crackling and apple-sour accompaniment need lift and aromatics to keep the dish from feeling too heavy.
92,Pork,Full Rack Pork Loin Ribs,"Slow-cooked pork loin ribs basted with BBQ, peri-peri or sweet chilli sriracha.",Shiraz,Amber Lager,Bourbon Smash,"Sticky ribs need a pairing that handles smoke, sweetness and richness all at once."
93,Lamb,Lamb Rump,Juicy and flavourful lamb rump grilled over an open flame.,Shiraz,Amber Lager,Whiskey Sour,"Lamb has savoury depth and natural richness, so it works best with a more serious, fuller pairing."
94,Lamb,Lamb Shank,"Slow-cooked lamb shank in BBQ red wine sauce, finished on the grill.",Shiraz,Amber Lager,Whiskey Sour,"The slow-cooked richness and sauce want a drink with warmth, weight and enough spice to match."
95,Lamb,Lamb Chops,Lamb loin chops grilled with your choice of crust or basting.,Shiraz,Amber Lager,Whiskey Sour,"Lamb chops are bold and savoury, so a fuller red or richer drink keeps up naturally."
96,Lamb,Lamb Rump & Chops Combo,Lamb rump with two lamb loin chops.,Shiraz,Amber Lager,Whiskey Sour,A combo this rich needs a pairing with enough structure to cover both the delicate sweetness of the chops and the depth of the rump.
97,Game,Ostrich Fillet,Lean ostrich fillet with delicate texture and slightly sweet flavour.,Pinot Noir,Crisp Lager,Gin and Tonic,"Ostrich is lean like game but elegant on the palate, so a lighter red or crisp long drink keeps the dish refined."
98,Game,Kudu,"Wild-harvested kudu with gamey, earthy and slightly sweet notes.",Pinotage,Strong Lager,Old Fashioned,Kudu has enough wild depth to call for a pairing with character and more savoury structure.
99,Game,Springbok,Lean springbok loin with tender texture and subtle earthy flavour.,Pinot Noir,Crisp Lager,Gin and Tonic,"Springbok is best with a lighter, cleaner pairing that respects the meat’s delicacy and earthy finish."
100,Slow Cooked,Oxtail,"Slow-cooked oxtail in red wine and brown onion sauce with carrots, potatoes and beans.",Merlot,Strong Lager,Old Fashioned,"Oxtail is deep, sticky and comforting, so the pairing should be generous and smooth rather than sharp."
101,Slow Cooked,Beef Ribs 2 pce,"Two slow-cooked beef ribs finished on the grill and basted with BBQ, peri-peri or sweet chilli sriracha.",Shiraz,Strong Lager,Bourbon Smash,"Beef ribs bring heavy richness and smoky sweetness, so they need a pairing with serious body."
102,Slow Cooked,Beef Ribs 3 pce,"Large portion of slow-cooked beef ribs finished on the grill and basted with BBQ, peri-peri or sweet chilli sriracha.",Shiraz,Strong Lager,Bourbon Smash,"A bigger rib portion pushes the richness even further, so the pairing must be bold enough to keep up."
103,Combo,Prime Steak & Lamb Chops,Rump steak served with two lamb chops.,Cabernet Sauvignon,Strong Lager,Old Fashioned,"This combo layers two rich meats together, so the drink must have the structure and depth to match both."
104,Combo,Pork or Beef Ribs & Queen Prawns,Ribs served with three queen prawns.,Shiraz,Lager,Gin and Tonic,"Because the plate mixes smoky richness with sweet seafood, a flexible pairing with freshness works best."
105,Combo,Pork or Beef Ribs & Wings,Ribs served with wings and your choice of basting.,Shiraz,Strong Lager,Whiskey Sour,"This is a bold, sticky, grilled plate, so the pairing needs enough body and energy to handle the sauce and smoke."
106,Combo,Mixed Grill,"Boerewors, sirloin and two lamb chops.",Cabernet Sauvignon,Strong Lager,Old Fashioned,"A mixed grill is all about meat and fire, so a bigger, more structured pairing makes the whole plate feel cohesive."
107,Combo,Prime Steak & Prawns,Rump steak served with six queen prawns.,Cabernet Sauvignon,Lager,Gin and Tonic,Surf and turf needs a pairing that respects the steak while still staying lively enough for the prawns.
108,Combo,Pork or Beef Ribs & Lamb Chops,Ribs served with two lamb chops.,Shiraz,Strong Lager,Whiskey Sour,"With ribs and lamb together, the pairing needs to be full-bodied and savoury enough to anchor the plate."
109,Platter,"Rump Steak, Boerewors and Ribs","Platter of rump steak, boerewors and ribs with your choice of basting.",Cabernet Sauvignon,Strong Lager,Old Fashioned,"This platter is unapologetically meaty, so the drink should be just as bold and steady."
110,Platter,"T-Bone, Wings and Boerewors","Platter of T-bone, wings and boerewors with your choice of basting.",Cabernet Sauvignon,Strong Lager,Whiskey Sour,"The combination of steak, sausage and wings needs a pairing that can handle smoke, fat and spice together."
111,Platter,"The King, Queen Platter","Kingklip, eight queen prawns, calamari and mussels with tartar and peri-peri sauces.",Sauvignon Blanc,Pilsner,Gin and Tonic,"A seafood platter needs one bright, crisp pairing that keeps every element feeling fresh from start to finish."
112,Burger,BBQ / Peri-Peri Beef Burger,Homemade beef burger basted with BBQ or peri-peri.,Merlot,Lager,Old Fashioned,"A beef burger wants enough richness in the glass to match the meat, but it still needs freshness to handle the basting."
113,Burger,Cheese Burger,Homemade beef burger topped with mature cheddar.,Merlot,Lager,Whiskey Sour,"The cheese adds creaminess and salt, so the pairing needs enough body to stand beside the burger without feeling too heavy."
114,Burger,BBQ / Peri-Peri Chicken Burger,"Grilled chicken breast burger basted with BBQ, peri-peri or sweet chilli sriracha.",Chardonnay,Lager,Margarita,"Chicken burgers work best with a brighter, easier pairing that keeps the spice and glaze from becoming too rich."
115,Burger,Bacon and Chicken Burger,Grilled chicken burger topped with crispy bacon and mature cheddar.,Chardonnay,Lager,Whiskey Sour,"The bacon and cheddar add salt and richness, so the drink needs freshness with enough weight to keep the burger balanced."
116,Burger,Jalapeno Chilli and Cheese Burger,"Beef burger topped with jalapenos, cheddar and sriracha mayo.",Sauvignon Blanc,Lager,Margarita,"The chilli heat needs a sharper, fresher pairing that cools the palate without flattening the burger."
117,Burger,Bacon and Cheese Burger,Beef burger topped with crispy bacon and mature cheddar.,Merlot,Lager,Whiskey Sour,"Bacon and cheese push the burger into richer territory, so a rounder pairing is the better move."
118,Burger,"Bacon, Egg & Cheese Burger","Beef burger topped with crispy bacon, fried egg and mature cheddar.",Merlot,Lager,Whiskey Sour,"This is a heavy, satisfying burger, so the drink should have enough depth to hold its place beside all that richness."
119,Chicken,Half Chicken,"Half chicken basted with BBQ, peri-peri or sweet chilli sriracha.",Chardonnay,Lager,Gin and Tonic,"Chicken stays versatile, so the best pairing is one that tracks the basting and keeps the dish feeling balanced."
120,Chicken,Chicken Breast,"Chicken breast basted with BBQ, peri-peri or sweet chilli sriracha.",Chardonnay,Lager,Gin and Tonic,"A straightforward grilled chicken dish works best with a pairing that is fresh, adaptable and easy to drink."
121,Chicken,Mushroom Sauce Chicken Breast,Chicken breast topped with creamy mushroom sauce.,Chardonnay,Lager,Gin and Tonic,The creamy mushroom sauce wants something with enough roundness to match it but enough freshness to stop it from feeling heavy.
122,Chicken,Full Chicken,"Full chicken basted with BBQ, peri-peri or sweet chilli sriracha.",Chardonnay,Lager,Gin and Tonic,A full chicken plate is generous but still best served by a pairing that keeps the palate refreshed across the meal.
123,Chicken,Firecracker Chicken Wings - 800g,"Large wings basted with BBQ, peri-peri or sweet sriracha sauce.",Shiraz,Lager,Whiskey Sour,"Big wings with sticky glaze need a pairing with enough punch to handle sweetness, spice and char."
124,Pasta,Creamy Basil Pesto & Mushroom,Grilled mushrooms in a creamy pesto sauce.,Chardonnay,Pilsner,Gin and Tonic,"The creamy pesto likes a pairing with freshness and soft texture, so the dish stays rich but not heavy."
125,Pasta,Spaghetti Bolognese,Pan-fried beef mince in napolitana sauce with garlic and chilli.,Merlot,Lager,Negroni,The meat sauce needs a drink with enough savoury depth to match the tomato and beef without turning harsh.
126,Pasta,Chicken Pasta,"Chicken, cherry tomatoes, basil pesto, napolitana, roasted peppers and a hint of chilli.",Chardonnay,Pilsner,Gin and Tonic,"This pasta sits between creamy, herby and lightly spicy, so the pairing should stay balanced and flexible."
127,Pasta,Alfredo,Ham and mushroom in a fresh creamy sauce.,Chardonnay,Pilsner,Gin and Tonic,A creamy Alfredo-style sauce needs freshness in the glass to stop the plate from feeling too rich.
128,Pasta,Beef Fillet Pasta,"Tender beef fillet strips with peppers, garlic and a hint of chilli in napolitana sauce.",Merlot,Amber Lager,Old Fashioned,"The beef makes this a more serious pasta, so a smoother red or fuller drink gives the dish proper support."
129,Pasta,Seafood Pasta,"Prawns, calamari and mussels with chilli and garlic in napolitana or fresh cream sauce.",Sauvignon Blanc,Pilsner,Gin and Tonic,Seafood pasta needs brightness to lift the shellfish and enough freshness to handle either cream or tomato.
